Magnitude,Location,URL
1.93,"11km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920992
1.26,"11km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920984
1.33,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920976
0.72,"18km WSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920968
1.25,"9km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920952
1.35,"9km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920944
1.34,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920936
1.63,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920928
1.67,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920920
1.82,"11km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920912
1.73,"13km WSW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920904
1.89,"11km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920896
2.05,"10km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920888
1.42,"11km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920880
1.74,"14km WSW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920872
1.55,"12km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920864
1.45,"8km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920856
1.06,"12km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920848
1.42,"11km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920840
2.05,"12km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920832
1.92,"10km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920824
1.81,"9km N of Ocotillo, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920816
1.36,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920808
1.86,"11km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920792
1.49,"9km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920784
1.53,"14km WSW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920776
1.49,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920768
1.69,"8km WSW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920760
1.91,"11km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920752
1.58,"4km SW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920736
1.19,"18km N of Borrego Springs, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920720
1.52,"12km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920712
1.34,"10km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920696
1.44,"8km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920688
1.34,"12km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920680
1.58,"9km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920672
2.23,"11km N of Westmorland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920664
1.37,"13km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920656
0.7,"1km NNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73570401
1.41,"11km W of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920648
1.32,"8km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920640
1.89,"8km WNW of Calipatria, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39920632
